,Unnamed: 0.1,Unnamed: 0,Text,Bold/Not,Font Size,Words,Nouns,Verbs,Digits,Punctuations,Enumeration,Text Case,Label
0,0,18435,"All original documents prepared by Consultant(including its employees and subconsultants) for this Agreement (â€œwork productâ€),whether complete or in",0.0,12.0,25,7,2,0,0,0,3,0
1,1,15196,9. Termination.,1.0,10.0,4,1,0,1,2,1,3,1
2,2,14475,"any  losses,  actions,  costs,  liabilities,  expenses  (including  reasonable  legal  expenses),  demands,",0.0,9.0,19,6,2,0,0,0,2,0
3,3,5762,XV. Late Fees and Collection Costs,1.0,11.0,7,4,0,0,1,1,3,1
4,4,4579,engine data analysis services,0.0,12.0,4,4,0,0,0,0,2,0
5,5,2048,3. CHANGES,1.0,10.0,3,1,0,1,1,1,1,1
6,6,3580,ARTICLE8 Equipment,1.0,10.0,2,2,0,0,0,0,4,1
7,7,523,General Terms and Conditions of Towing,1.0,10.0,6,2,1,0,0,0,3,0
8,8,4422,SECTION 9 Use of Outside Market,1.0,10.0,6,4,0,1,0,0,3,1
9,9,3715,"The carrier shall, prior to execution of the transport, visually check the goods to be transported, interms of content and quantity, as to whether they agree with the descriptions in the relevantconsignment notes, loading lists or other accompanying documents. Any deviations or obvious damageshall be noted in detail in the consignment note and other accompanying documents and reported toFord.",0.0,10.0,66,19,10,0,2,0,3,0
10,10,7641,44.0 Conï¬‚ict of Interest,1.0,12.0,4,2,0,1,0,1,3,1
11,11,5302,VI. Notices,1.0,9.0,3,2,0,0,1,1,4,1
12,12,2900,19. Billing and Fees,1.0,9.0,5,2,0,1,1,1,3,1
13,13,2467,CUSTOMER agrees to pay a fee of ,0.0,10.0,7,2,2,0,0,0,3,0
14,14,14152,Severity Level Two,0.0,12.0,3,2,0,1,0,0,4,0
15,15,8841,â€œSite(s)â€ means the Customer or Carrier locations set forth on the Service Order(s) identified on Exhibit,0.0,8.0,23,10,3,0,0,0,3,0
16,16,6028,1.4 â€˜EFMâ€™ â€“ shall mean Ethernet First Mile and shall mean the provision of a copper data circuit .1.5 â€˜EADâ€™ â€“ shall mean Ethernet Access Direct and shall be a high-speed Ethernet point to point data circuit that,0.0,10.0,38,18,5,1,0,0,3,0
17,17,14508,"all  data,  including  all  text,  sound,  video,  image  ï¬les,  or  software,  that  are  provided  tobluesource by or on behalf of Company through an engagement to obtain Servicesunder  this  Agreement  or  produced  during  the  relationship  between  the  Parties,such  as  and  not  limited  to  support  tickets,  project  documentation,  contracts,purchase orders, invoices, and emails.",0.0,9.0,66,23,7,0,1,0,3,0
18,18,1853,costs in accordance with the cost principles applicable to the type of Supplier incurring the costs as follows:,0.0,9.0,19,7,2,0,0,0,3,0
19,19,3505,ARTICLE7 EXPRESS TERMS,1.0,10.0,3,3,0,0,0,0,1,1
20,20,16472, Fees will be invoiced and due in accordance with with the payment terms setforth on any relevant Service Order according to CrowdEngine policies which are available online,0.0,10.0,27,9,5,0,0,0,3,0
21,21,10616,Section 11.7 of the MSA shall be deleted and replaced with the following:,0.0,10.0,14,3,3,1,0,0,3,0
22,22,896,"Confidential Information of Boom Technology, Inc. Disclose and distribute solely to those individuals who have a need to know. ",1.0,8.0,22,7,3,0,2,0,3,0
23,23,10874,equipment pursuant to Article 8.,0.0,6.0,6,3,0,1,1,0,3,0
24,24,3597,ARTICLE8 No Warranty,1.0,12.0,3,3,0,0,0,0,4,1
25,25,18525,Consultant hereby grants to City a waiver of any rightto subrogation which any insurer of said Consultant may acquire against the Cityby virtue of the payment of any loss under such insurance. This provision appliesregardless  of  whether  or  not  the  City  has  requested  or  received  a  waiver  of,0.0,12.0,49,18,5,0,1,0,3,0
26,26,2152,â–  B is the cost of Subscription to Mindbox Service for one full Accounting period;,0.0,11.0,16,8,1,1,0,0,3,0
27,27,3058,22. Late Fees and Collection Costs,1.0,11.0,7,3,0,1,1,1,3,1
28,28,12656,"2.1  Within  the  scope  of  the  Service,  you  hereby  engage  Fyber  for  the  Purposes  of  monetizing  your  mobileapplication via ads provided by third party advertisers to your appâ€™s users through Fyberâ€™s ad monetizationplatform.  As  part  of  the  Service,  you  hereby  authorize  and  instruct  Fyber  to  collect,  Process  and/or  usePersonal Data of your appâ€™s users, on your behalf, as described in this DPA. To the extent that the GDPRapplies  to  such  Processing,  you  are  considered  as  the  Data  Controller  and  Fyber  is  considered  the  DataProcessor.  You  acknowledge  and  agree  that  you  have  the  sole  responsibility  for  (a)  the  lawfulness  of  theProcessing  of  Personal  Data  of  your  appâ€™s  users  and  warrant  to  Fyber  that  you  are  legally  allowed  toengage Fyber for such processing on your behalf; and (b) providing all necessary notices and obtaining allrequired consents from the Data Subjects for the Processing described in this DPA.",0.0,10.0,160,50,21,1,4,0,3,0
29,29,10803,"F. SCSS will indemnify, defend and hold Customer, its officers, directors, agents and employees harmless from damage, liability and expense to the extent resulting from the negligent actsor omissions of SCSS, its agents or employees, during and within the scope of employment of such persons while they are on Ownerâ€™s premises performing the installation and/orrepair work. Notwithstanding the foregoing, SCSS shall have no liability or obligation to indemnify for damage, liability or expense resulting from or due to occurrences and/or theconsequences therefrom that the system is intended to detect, prevent or record, including any such loss or damage which may be occasioned or caused by the improper working ormalfunctioning of the system. In no event will SCSS, its employees, agents or representatives be responsible for consequential, incidental or special damages or for the negligenceof others.",0.0,6.0,152,48,20,0,3,0,3,0
30,30,17397,"employees, and its Aï¬ƒliates and their directors, oï¬ƒcers and employees (collectively,the  â€œ",0.0,10.0,17,6,0,0,0,0,3,0
31,31,6006,XX. INDEMNITY AND LIMITATION OF LIABILITY,1.0,11.0,7,6,0,0,1,1,1,1
32,32,4167,SECTION 4 Non-Solicitation,1.0,11.0,3,2,0,1,0,0,3,1
